mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.021213483810424805,0.021602723041390087,0.003620624542236328,0.0032064747584787667,2,{'n_neighbors': 2},-0.04857196796030072,-0.16456166419019302,-0.02751129786727957,-0.07879428873611882,0.023760810261767573,-0.05913568169842491,0.062425348529205615,29
0.011503267288208007,0.008010713359285748,0.005818843841552734,0.005097953572894473,3,{'n_neighbors': 3},0.0981418053345563,-0.002971768202080005,0.009135195609468294,0.0726331075352753,0.09986392452002735,0.05536045295944945,0.043928510402224195,28
0.008002567291259765,3.2459969377741827e-06,0.009598684310913087,0.0031967425203045367,4,{'n_neighbors': 4},0.10191752744140903,0.08757429420505214,0.018076587647665288,0.06814232832212708,0.1499089471240348,0.08512393694805767,0.04305542603570391,27
0.006817817687988281,0.005615390079852634,0.004407215118408203,0.0036710962013762794,5,{'n_neighbors': 5},0.08942528115644988,0.1405646359583954,0.035154205977959374,0.06299010349777112,0.21096291137036371,0.1078194275921879,0.062191758732088834,26
0.009607982635498048,0.007844888783333838,0.00440526008605957,0.003669171595561301,6,{'n_neighbors': 6},0.09184893515646797,0.17347696879643415,0.07097615335148066,0.05517362947294169,0.22413356678984375,0.12312185071343365,0.06488934345853493,22
0.004801321029663086,0.003920262368021861,0.006402444839477539,0.0059883972152273745,7,{'n_neighbors': 7},0.08339117086463521,0.140006671316372,0.10180134846295641,0.0681654545931083,0.20292849858034778,0.11925862876348395,0.048234576816571346,24
0.008001375198364257,0.005060710166854726,0.004800319671630859,0.00391944638697376,8,{'n_neighbors': 8},0.09150057984303805,0.15908246656760783,0.08675572821691924,0.07012540605877438,0.19846080735968397,0.12118499760920469,0.04915565087422817,23
0.0031987667083740235,0.003917673649729928,0.009599971771240234,0.005984956723847789,9,{'n_neighbors': 9},0.0988609904977662,0.16396089006292092,0.08877084489547837,0.0739015311551885,0.1691380954735373,0.11892647041697826,0.039720364132712654,25
0.003199195861816406,0.00391819966442522,0.009598159790039062,0.0031995077260628473,10,{'n_neighbors': 10},0.1135036004207236,0.16634472511144138,0.10606517085546674,0.07435219460602815,0.1610932149283183,0.12427178118439564,0.03482915472540247,21
0.007998132705688476,3.387222411189659e-06,0.001600360870361328,0.003200721740722656,11,{'n_neighbors': 11},0.10104826438257042,0.17484312256701828,0.11763607402306309,0.07402054221918652,0.17587946327281123,0.12868549329292991,0.04057575755695953,13
0.0074309825897216795,0.003890496427034319,0.0054149627685546875,0.0029213384424965723,12,{'n_neighbors': 12},0.10268166167731974,0.18343445600132102,0.1349753781371955,0.06860399721319854,0.17341421279367442,0.13262194116454185,0.04300273767521644,6
0.005932903289794922,0.003503370948651046,0.006556320190429688,0.0026669524740315018,13,{'n_neighbors': 13},0.0926777003075635,0.18210432840676316,0.13128044372364955,0.06305304344599749,0.18340121461647296,0.13050334610008935,0.04783674854556282,9
0.007968330383300781,0.0029226786966643375,0.005684947967529297,0.001597951849345813,14,{'n_neighbors': 14},0.08854288499293594,0.18094429450829363,0.1419931169169485,0.062275964249868365,0.17734322529290303,0.1302198971921899,0.04750901515835559,10
0.004832267761230469,0.0039455301051719545,0.006258678436279297,0.0019251325299168057,15,{'n_neighbors': 15},0.10165142893102141,0.18121182103351519,0.14233110459226384,0.05560340124062979,0.18556181115818915,0.13327191339112388,0.04928851776150909,5
0.005427694320678711,0.0029551201852754524,0.013969087600708007,0.00969604817691427,16,{'n_neighbors': 16},0.10211979826856188,0.1886260215453196,0.13987552525172453,0.06221670318047867,0.18423662955627107,0.13541493556047116,0.048376485460485126,2
0.005484962463378906,0.003275522884711009,0.007404756546020508,0.001191016659337215,17,{'n_neighbors': 17},0.10150878639276817,0.19679995064191214,0.13781491441932414,0.06404743127225665,0.18306635167510443,0.13664748688027312,0.04955782307311879,1
0.004887580871582031,0.0030232563623478798,0.007412862777709961,0.0011951105394952565,18,{'n_neighbors': 18},0.08277921115376297,0.20005319831966706,0.13172084846811993,0.07300617330583814,0.18241064985894395,0.13399401622126642,0.05109917119783455,3
0.002605772018432617,0.003327927058926694,0.008005046844482422,1.4507608914317418e-05,19,{'n_neighbors': 19},0.08036139652112129,0.1898433030256882,0.1250288527445962,0.06890720357630953,0.17970988488294115,0.12877012815013128,0.04952931189406703,12
0.006405782699584961,0.0032029183805017355,0.008002138137817383,0.005059883501291519,20,{'n_neighbors': 20},0.08347042800507043,0.1780460624071325,0.1220486799334023,0.0709224144443601,0.1793175024667707,0.1267610174513472,0.045621422157916966,16
0.004805755615234375,0.003923904429011188,0.009108734130859376,0.002219111595920372,21,{'n_neighbors': 21},0.08622387977278911,0.17366649482972996,0.13245035850963993,0.07086523259803756,0.17337587616933858,0.12731636837590704,0.042828713932035495,15
0.004803657531738281,0.003922195101422433,0.00800027847290039,6.412706366321707e-06,22,{'n_neighbors': 22},0.08415781448544446,0.18098313951346523,0.14058235861858392,0.08550850140196775,0.1628530049038016,0.1308169637846526,0.039669255175547355,8
0.0047970771789550785,0.003916797149893794,0.008004522323608399,6.911013982304284e-06,23,{'n_neighbors': 23},0.07976791595689203,0.17953356159958678,0.14109081502461618,0.08924588850094062,0.1711044957500656,0.13214853536642024,0.04105420398401436,7
0.0036998271942138674,0.0036236947563117613,0.011793994903564453,0.003222848999786786,24,{'n_neighbors': 24},0.0774315200877409,0.18129333828628058,0.14082251997498174,0.08954697690816127,0.177701033786703,0.13335907780877349,0.04328278469416526,4
0.002271413803100586,0.002499386275205327,0.015123271942138672,0.007634315003137352,25,{'n_neighbors': 25},0.0757860783732035,0.1693194650817238,0.1413455958138432,0.08674896124499498,0.17489581519530994,0.1296191831418151,0.04122973112908064,11
0.004795885086059571,0.003915824429492794,0.009088897705078125,0.0021540782278799066,26,{'n_neighbors': 26},0.07048296528553877,0.16805876715580692,0.14312133109588732,0.07581983976240148,0.1761369041670141,0.1267239614933297,0.04510733434011009,17
0.0053138256072998045,0.0034070327328904336,0.008084297180175781,0.005147705807582195,27,{'n_neighbors': 27},0.06480180178080486,0.17270498168632575,0.14728168740049508,0.07877625722387449,0.17540806919395535,0.12779455945709112,0.04697791388140491,14
0.007309627532958984,0.000869348151947746,0.008564138412475586,0.0014043351911008945,28,{'n_neighbors': 28},0.058342612106197955,0.16752585135094156,0.145674126306354,0.08338254089881003,0.175034180919451,0.1259918623163509,0.04671100106083113,18
0.0055145263671875,0.003775793860159714,0.006745529174804687,0.0029343886626527586,29,{'n_neighbors': 29},0.06137100529547124,0.16760454634597965,0.13680966158672347,0.08705438409632027,0.17015658622201046,0.12459923670930102,0.04354640842298755,19
0.006306266784667969,0.0024240275268401306,0.0017683029174804688,0.0026484668956081037,30,{'n_neighbors': 30},0.06244864568443964,0.16651807825656284,0.13164724226327362,0.0917780967490115,0.17016393548345454,0.12451119968734843,0.04200688008833539,20
